Cloud_Usage,IoT_Devices,ERP_System,AI_Usage,Automation_Level,Maturity_Stage
Yes,80,No,No,Low,Digitalization
No,271,Yes,Yes,High,Intelligent Automation
No,264,Yes,Yes,Medium,Intelligent Automation
No,89,No,No,Very High,Digitalization
Yes,62,Yes,No,High,Digitalization
Yes,178,No,Yes,High,Intelligent Automation
Yes,107,No,No,High,Integration
No,116,No,No,Low,Integration
No,110,No,Yes,High,Integration
No,9,Yes,Yes,Low,Digitization
Yes,100,Yes,Yes,High,Integration
Yes,43,Yes,No,Medium,Digitalization
Yes,124,No,Yes,Very High,Integration
No,47,No,Yes,Very High,Digitalization
Yes,72,Yes,Yes,Medium,Digitalization
No,74,No,No,High,Digitalization
No,32,No,Yes,Low,Digitization
Yes,245,Yes,Yes,High,Intelligent Automation
Yes,64,No,No,Medium,Digitalization
No,19,Yes,Yes,Low,Digitization
Yes,227,No,No,High,Intelligent Automation
Yes,26,No,No,High,Digitization
Yes,296,No,No,High,Intelligent Automation
No,250,Yes,No,High,Intelligent Automation
No,153,Yes,No,Medium,Intelligent Automation
Yes,48,No,No,High,Digitalization
No,300,No,Yes,Low,Intelligent Automation
Yes,223,Yes,No,Medium,Intelligent Automation
Yes,150,No,No,Medium,Intelligent Automation
Yes,227,No,No,High,Intelligent Automation
No,118,No,No,High,Integration
No,136,Yes,Yes,High,Integration
No,254,Yes,No,High,Intelligent Automation
No,170,No,No,Low,Intelligent Automation
No,50,Yes,No,High,Digitalization
No,53,No,Yes,Medium,Digitalization
No,116,Yes,Yes,High,Integration
Yes,155,No,No,Low,Intelligent Automation
No,176,No,No,Low,Intelligent Automation
No,280,No,Yes,Very High,Intelligent Automation
No,14,No,No,High,Digitization
No,297,No,No,Medium,Intelligent Automation
Yes,183,Yes,No,Low,Intelligent Automation
No,31,No,No,Medium,Digitization
Yes,267,No,Yes,Medium,Intelligent Automation
No,229,No,No,High,Intelligent Automation
Yes,97,Yes,No,Very High,Integration
No,279,No,Yes,Very High,Intelligent Automation
No,97,No,No,Medium,Integration
Yes,156,Yes,No,High,Intelligent Automation
No,25,No,No,Very High,Digitization
No,148,No,No,Very High,Integration
No,196,No,No,Very High,Intelligent Automation
No,286,No,No,High,Intelligent Automation
No,185,No,No,High,Intelligent Automation
No,287,No,Yes,Low,Intelligent Automation
No,24,Yes,No,Low,Digitization
No,141,Yes,No,Medium,Integration
No,88,No,Yes,Very High,Digitalization
No,178,No,Yes,High,Intelligent Automation
No,12,Yes,Yes,Low,Digitization
Yes,16,Yes,No,High,Digitization
No,144,No,Yes,Very High,Integration
No,147,Yes,Yes,Medium,Integration
No,289,Yes,No,Low,Intelligent Automation
No,81,Yes,No,Medium,Digitalization
No,225,No,No,High,Intelligent Automation
Yes,107,Yes,No,Medium,Integration
Yes,54,No,Yes,Very High,Digitalization
Yes,59,Yes,Yes,Medium,Digitalization
No,66,Yes,No,Very High,Digitalization
Yes,8,No,No,Low,Digitization
Yes,146,No,Yes,High,Integration
No,17,Yes,No,Low,Digitization
Yes,87,Yes,No,Medium,Digitalization
Yes,190,No,No,Medium,Intelligent Automation
Yes,146,Yes,No,Low,Integration
Yes,18,Yes,Yes,Medium,Digitization
Yes,62,No,Yes,Very High,Digitalization
No,2,Yes,No,Very High,Digitization
Yes,11,No,No,Low,Digitization
Yes,123,Yes,Yes,High,Integration
Yes,279,Yes,Yes,High,Intelligent Automation
No,10,No,Yes,Very High,Digitization
No,185,Yes,No,Medium,Intelligent Automation
No,35,No,No,High,Digitization
Yes,143,No,No,Medium,Integration
No,156,Yes,Yes,Medium,Intelligent Automation
Yes,295,Yes,Yes,Very High,Intelligent Automation
Yes,199,No,No,Medium,Intelligent Automation
Yes,48,Yes,No,Low,Digitalization
Yes,152,No,No,Medium,Intelligent Automation
No,260,Yes,No,Medium,Intelligent Automation
Yes,117,Yes,No,High,Integration
Yes,194,Yes,No,Low,Intelligent Automation
Yes,264,No,Yes,Very High,Intelligent Automation
No,55,No,Yes,Low,Digitalization
Yes,192,Yes,Yes,Very High,Intelligent Automation
Yes,144,No,Yes,Low,Integration
Yes,245,Yes,Yes,Low,Intelligent Automation
No,276,No,Yes,Very High,Intelligent Automation
Yes,207,No,No,Very High,Intelligent Automation
Yes,217,No,No,Very High,Intelligent Automation
Yes,238,Yes,Yes,Low,Intelligent Automation
No,115,Yes,Yes,High,Integration
No,189,No,Yes,Low,Intelligent Automation
No,132,No,Yes,Very High,Integration
No,69,No,Yes,Low,Digitalization
No,194,No,Yes,Low,Intelligent Automation
Yes,37,Yes,Yes,Low,Digitization
No,185,No,Yes,High,Intelligent Automation
No,29,No,Yes,Low,Digitization
No,81,No,No,Very High,Digitalization
No,154,Yes,Yes,Medium,Intelligent Automation
No,73,No,No,High,Digitalization
No,146,Yes,Yes,Low,Integration
No,77,No,No,High,Digitalization
No,267,No,Yes,High,Intelligent Automation
Yes,62,Yes,No,Low,Digitalization
No,190,No,Yes,Low,Intelligent Automation
Yes,182,Yes,Yes,Low,Intelligent Automation
Yes,157,No,Yes,Low,Intelligent Automation
No,67,Yes,No,Low,Digitalization
No,208,No,Yes,Low,Intelligent Automation
Yes,42,No,No,Low,Digitalization
Yes,99,No,No,Low,Integration
No,47,Yes,Yes,Medium,Digitalization
Yes,38,No,Yes,High,Digitization
No,279,No,No,High,Intelligent Automation
Yes,211,Yes,Yes,Medium,Intelligent Automation
Yes,11,Yes,Yes,Low,Digitization
No,101,Yes,Yes,Medium,Integration
Yes,132,No,No,Medium,Integration
No,108,No,Yes,Low,Integration
Yes,234,No,No,Medium,Intelligent Automation
Yes,91,Yes,No,Low,Integration
No,239,Yes,No,High,Intelligent Automation
No,239,Yes,No,High,Intelligent Automation
Yes,144,Yes,Yes,High,Integration
Yes,10,Yes,No,High,Digitization
Yes,71,Yes,No,Medium,Digitalization
Yes,135,No,Yes,Very High,Integration
No,96,No,Yes,Very High,Integration
Yes,224,No,No,Medium,Intelligent Automation
Yes,231,Yes,Yes,Medium,Intelligent Automation
Yes,148,No,No,Low,Integration
Yes,34,No,Yes,High,Digitization
No,129,No,Yes,Very High,Integration
Yes,135,No,No,Medium,Integration
Yes,259,Yes,Yes,Very High,Intelligent Automation
Yes,244,No,No,Very High,Intelligent Automation
Yes,39,Yes,Yes,Medium,Digitization
Yes,209,Yes,Yes,Very High,Intelligent Automation
Yes,89,Yes,Yes,Very High,Digitalization
Yes,124,Yes,Yes,High,Integration
No,254,No,Yes,Very High,Intelligent Automation
No,262,No,Yes,Medium,Intelligent Automation
Yes,214,No,No,Very High,Intelligent Automation
No,271,Yes,Yes,Medium,Intelligent Automation
Yes,265,Yes,Yes,Low,Intelligent Automation
No,126,Yes,Yes,Low,Integration
No,236,No,No,Low,Intelligent Automation
No,248,Yes,Yes,High,Intelligent Automation
No,281,No,No,Very High,Intelligent Automation
No,23,Yes,Yes,Very High,Digitization
Yes,93,No,No,Medium,Integration
No,202,No,Yes,Low,Intelligent Automation
Yes,19,No,No,High,Digitization
Yes,238,Yes,No,Low,Intelligent Automation
No,90,Yes,No,Medium,Integration
No,94,No,No,Low,Integration
No,115,Yes,Yes,Medium,Integration
Yes,95,Yes,No,Very High,Integration
No,2,Yes,Yes,Medium,Digitization
No,215,No,No,Very High,Intelligent Automation
Yes,23,Yes,Yes,Low,Digitization
No,105,No,No,Medium,Integration
No,215,Yes,No,Very High,Intelligent Automation
Yes,176,Yes,No,Very High,Intelligent Automation
No,21,Yes,No,High,Digitization
No,2,Yes,No,Medium,Digitization
Yes,55,Yes,Yes,Very High,Digitalization
No,239,Yes,No,Low,Intelligent Automation
No,22,Yes,Yes,Very High,Digitization
No,132,No,No,Very High,Integration
Yes,160,No,Yes,Medium,Intelligent Automation
Yes,82,Yes,No,Very High,Digitalization
Yes,137,No,Yes,Very High,Integration
No,257,Yes,Yes,Medium,Intelligent Automation
No,191,Yes,No,High,Intelligent Automation
No,62,Yes,Yes,High,Digitalization
No,113,No,Yes,Low,Integration
Yes,295,Yes,No,Medium,Intelligent Automation
Yes,42,No,No,Medium,Digitalization
Yes,237,Yes,Yes,Very High,Intelligent Automation
No,254,Yes,Yes,Very High,Intelligent Automation
Yes,82,Yes,No,Low,Digitalization
Yes,73,No,Yes,Medium,Digitalization
Yes,239,Yes,No,High,Intelligent Automation
Yes,193,Yes,No,Medium,Intelligent Automation
